destination,destination_display,country,location_id,path,checkin_offset,checkin_date,checkout_date,stay_nights,occupancy_adults,url,run_date
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,1,2026-08-20,2026-08-21,1,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260820-20260821;drs-40;rc-1-1,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,1,2026-08-20,2026-08-21,1,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260820-20260821;drs-40;rc-1-2,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,1,2026-08-20,2026-08-24,4,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260820-20260824;drs-40;rc-1-1,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,1,2026-08-20,2026-08-24,4,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260820-20260824;drs-40;rc-1-2,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,7,2026-08-26,2026-08-27,1,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260826-20260827;drs-40;rc-1-1,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,7,2026-08-26,2026-08-27,1,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260826-20260827;drs-40;rc-1-2,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,7,2026-08-26,2026-08-30,4,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260826-20260830;drs-40;rc-1-1,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,7,2026-08-26,2026-08-30,4,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260826-20260830;drs-40;rc-1-2,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,30,2026-09-18,2026-09-19,1,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260918-20260919;drs-40;rc-1-1,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,30,2026-09-18,2026-09-19,1,2,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260918-20260919;drs-40;rc-1-2,2026-08-19
Ha Noi,Hà Nội,Việt Nam,200-68088,lm,30,2026-09-18,2026-09-22,4,1,https://www.trivago.com/vi/lm/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260918-20260922;drs-40;rc-1-1,2026-08-19
