destination,destination_display,country,location_id,checkin_offset,checkin_date,checkout_date,stay_nights,occupancy_adults,url,run_date
Ha Noi,Hà Nội,Việt Nam,200-68088,1,2026-08-13,2026-08-14,1,1,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260813-20260814;drs-40;rc-1-1,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,1,2026-08-13,2026-08-14,1,2,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260813-20260814;drs-40;rc-1-2,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,1,2026-08-13,2026-08-17,4,1,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260813-20260817;drs-40;rc-1-1,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,1,2026-08-13,2026-08-17,4,2,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260813-20260817;drs-40;rc-1-2,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,7,2026-08-19,2026-08-20,1,1,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260819-20260820;drs-40;rc-1-1,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,7,2026-08-19,2026-08-20,1,2,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260819-20260820;drs-40;rc-1-2,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,7,2026-08-19,2026-08-23,4,1,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260819-20260823;drs-40;rc-1-1,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,7,2026-08-19,2026-08-23,4,2,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260819-20260823;drs-40;rc-1-2,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,30,2026-09-11,2026-09-12,1,1,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260911-20260912;drs-40;rc-1-1,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,30,2026-09-11,2026-09-12,1,2,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260911-20260912;drs-40;rc-1-2,2026-08-12
Ha Noi,Hà Nội,Việt Nam,200-68088,30,2026-09-11,2026-09-15,4,1,https://www.trivago.com/vi/srl/kh%C3%A1ch-s%E1%BA%A1n-h%C3%A0-n%E1%BB%99i-vi%E1%BB%87t-nam?search=200-68088;dr-20260911-20260915;drs-40;rc-1-1,2026-08-12
